State,District,Year,Season,Crop,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield_kg_ha,Price_INR_q
Telangana,Khammam,2022,Rabi,Tomato,73.06,51.32,101.08,29.9465,75.7558,6.5724,1157.06,21850.2,2273.1
Punjab,Gurdaspur,2023,Annual,Sugarcane,102.92,59.99,44.45,17.8888,75.0941,6.9296,662.86,63016.8,334.96
Uttarakhand,Dehradun,2023,Rabi,Tomato,108.63,45.26,80.74,17.61,84.22,6.39,1062.03,15530.8,2534.02
Daman & Diu,Diu,2023,Annual,Sugarcane,87.72,63.07,55.07,25.4649,78.6468,6.3219,1579.32,53119.8,277.74
Odisha,Bhubaneswar,2022,Kharif,Rice,68.1,37.01,61.09,30.968,79.7152,6.119,1130.02,3181.4,1995.55
Tamil Nadu,Trichy,2019,Annual,Sugarcane,65.95,88.29,91.12,23.2055,59.6481,6.892,824.48,75848.1,313.79
Telangana,Karimnagar,2020,Annual,Mango,31.07,25.82,35.58,32.41,81.31,6.01,1373.98,6034.2,3092.13
Madhya Pradesh,Chhindwara,2021,Annual,Sugarcane,106.88,91.96,44.69,29.9296,61.9417,8.0057,820.05,69590.0,335.04
Assam,Dibrugarh,2021,Kharif,Turmeric,56.08,83.83,102.72,25.06,84.32,5.68,1645.27,4552.6,6119.87
Odisha,Bhadrak,2019,Kharif,Maize,80.79,53.76,64.76,24.86,70.15,5.98,1457.7,3426.58,1742.26
Uttar Pradesh,Varanasi,2019,Annual,Sugarcane,110.01,48.77,42.8,23.9186,76.8905,8.0111,1068.38,73534.3,285.31
Delhi,North Delhi,2023,Kharif,Rice,107.61,17.87,45.79,24.32,49.66,8.18,933.17,2449.0,1966.21
Andhra Pradesh,West Godavari,2020,Kharif,Cotton,105.82,51.57,40.95,24.02,83.96,6.82,966.91,481.7,6618.56
Punjab,Ludhiana,2020,Kharif,Rice,83.86,41.66,28.54,18.65,71.28,7.42,825.59,3604.3,1782.34
Sikkim,North Sikkim,2022,Kharif,Rice,55.88,19.1,42.71,22.5965,81.6724,4.8413,2341.74,2482.7,1694.23
Maharashtra,Nashik,2020,Rabi,Onion,80.83,41.36,75.58,23.25,77.18,5.78,983.7,11839.88,1759.74
Assam,Kamrup,2020,Rabi,Mustard,96.77,48.53,41.34,21.453,91.3496,5.9481,1975.32,1515.4,5285.0
Bihar,Purnia,2020,Kharif,Maize,74.37,33.17,36.87,21.73,91.65,7.43,976.87,2696.31,1974.94
Tamil Nadu,Madurai,2020,Kharif,Turmeric,98.41,75.88,91.95,31.17,73.26,6.69,885.28,4511.0,7586.64
Nagaland,Mokokchung,2021,Zaid,MungBean,23.16,22.77,57.73,21.71,80.07,4.67,1925.22,1040.7,7588.09
Gujarat,Bhavnagar,2022,Kharif,Rice,67.92,27.13,41.7,27.3362,80.0013,7.1767,703.36,2157.2,1744.76
Uttar Pradesh,Meerut,2019,Rabi,Mustard,90.05,52.03,54.5,27.6,80.43,7.0,600.42,1520.8,5558.1
Karnataka,Mysuru,2023,Kharif,Cotton,149.76,55.6,39.35,25.88,69.6,6.36,921.16,503.5,5887.27
Jammu & Kashmir,Kupwara,2020,Rabi,Lentil,17.19,82.04,23.04,8.95,68.5,6.37,867.19,842.0,6009.46
Assam,Cachar,2019,Kharif,Jute,100.39,40.23,25.36,28.76,75.05,4.93,1753.19,3034.2,5279.98
Andhra Pradesh,Kurnool,2019,Annual,Sugarcane,92.14,32.85,79.08,27.96,70.75,6.95,643.72,57329.97,116.33
Jammu & Kashmir,Srinagar,2020,Rabi,Wheat,75.69,58.82,44.08,5.35,74.27,6.73,969.91,4440.19,2051.9
Sikkim,East Sikkim,2022,Kharif,Ginger,65.31,39.71,114.08,22.239,84.7096,5.1618,2264.44,3338.8,6155.89
Ladakh,Leh,2022,Rabi,Wheat,58.77,65.66,27.42,5.0,49.7834,8.0712,37.37,4869.5,1770.99
Jammu & Kashmir,Pulwama,2022,Kharif,Maize,95.05,51.17,34.34,24.73,82.85,7.02,1362.34,2171.2,1860.96
Uttar Pradesh,Lucknow,2023,Annual,Banana,111.37,87.99,42.3,31.82,92.26,6.87,1141.47,29607.19,1242.75
Telangana,Nalgonda,2022,Kharif,Groundnut,29.46,40.8,44.55,32.92,59.45,5.88,801.83,2491.63,6472.78
Assam,Golaghat,2022,Annual,Banana,99.81,86.47,82.15,28.5727,87.1413,5.7886,1619.2,25925.7,1535.78
Puducherry,Yanam,2022,Annual,Sugarcane,104.66,66.59,60.8,30.8,87.04,6.49,1666.93,81109.31,493.15
Punjab,Moga,2019,Rabi,Potato,166.49,64.95,103.9,29.3081,76.7569,7.8338,687.32,17589.9,948.07
Telangana,Adilabad,2019,Rabi,Sunflower,91.47,34.02,28.84,24.83,62.81,6.42,814.51,1250.8,5713.26
Kerala,Kochi,2019,Annual,Coconut,24.2,11.26,27.77,22.85,85.48,5.84,2992.13,6416.6,1536.88
Tamil Nadu,Cuddalore,2023,Kharif,Turmeric,107.06,45.4,134.83,32.84,66.72,6.5,897.88,4142.4,7554.25
Andhra Pradesh,Krishna,2021,Annual,Sugarcane,58.08,60.55,61.98,19.66,70.98,6.97,1015.64,59880.8,302.78
Himachal Pradesh,Kullu,2020,Rabi,Potato,171.18,53.68,105.28,11.98,85.86,5.72,1316.22,15471.1,1020.69
Jammu & Kashmir,Poonch,2019,Kharif,Soybean,45.26,49.1,42.64,22.4166,82.1669,7.2923,744.86,1843.9,3587.47
Arunachal Pradesh,East Kameng,2023,Kharif,Ginger,67.61,42.85,154.47,14.95,89.93,5.21,2214.79,4267.2,5770.29
Haryana,Sirsa,2019,Kharif,Rice,111.67,43.26,40.29,38.58,75.92,7.38,549.52,2669.39,1950.96
Telangana,Hyderabad,2019,Annual,Mango,21.58,21.26,25.08,26.26,76.98,6.95,911.15,5968.1,2919.24
Telangana,Adilabad,2022,Rabi,Sunflower,25.91,34.5,35.71,29.93,75.47,6.13,836.08,1321.46,5730.69
Tamil Nadu,Salem,2023,Annual,Mango,34.41,18.96,26.38,28.4726,66.7002,6.1711,956.28,8486.4,2889.04
Chandigarh,Chandigarh,2022,Rabi,Wheat,98.3,63.6,36.3,19.22,41.15,8.13,631.11,3421.29,2209.05
Manipur,Imphal West,2022,Kharif,Rice,67.73,37.56,38.31,22.33,75.53,5.99,1449.01,3256.1,1758.75
Punjab,Amritsar,2021,Kharif,Maize,77.18,37.97,43.14,22.76,55.62,6.83,473.4,2044.8,1669.37
Chhattisgarh,Rajnandgaon,2023,Kharif,Soybean,52.46,50.24,47.35,33.5771,71.2329,6.8524,1474.62,1754.9,4086.72
Odisha,Balasore,2022,Kharif,Groundnut,30.73,40.67,44.53,24.05,73.63,6.47,1097.59,1641.4,5919.11
Maharashtra,Nashik,2022,Kharif,Rice,79.81,30.8,33.3,31.25,44.63,7.37,1257.9,2678.7,1882.34
Tamil Nadu,Salem,2020,Kharif,Rice,78.46,39.24,57.87,32.26,78.8,6.45,771.58,5202.34,1658.02
Rajasthan,Jaipur,2023,Kharif,Groundnut,26.46,62.79,41.44,34.1113,51.0689,7.6448,600.69,2275.0,5854.13
Bihar,Nalanda,2019,Annual,Mango,21.61,28.73,29.27,26.78,84.9,6.97,1065.56,8852.7,2939.74
Jammu & Kashmir,Baramulla,2022,Rabi,Lentil,17.47,41.86,22.88,5.0,60.5593,4.4303,793.06,765.8,4627.28
Dadra & Nagar Haveli,Dadra and Nagar Haveli,2023,Kharif,Rice,51.06,31.61,66.7,31.16,76.69,6.08,1550.86,4118.9,2002.28
Karnataka,Hubballi,2021,Kharif,Rice,85.67,25.13,41.62,28.8,74.91,5.86,748.89,2928.0,1787.89
West Bengal,Bankura,2021,Rabi,Onion,61.93,45.77,57.83,23.92,85.04,5.86,1898.54,19235.67,2067.09
Bihar,Vaishali,2022,Kharif,Rice,64.73,38.01,44.49,30.84,55.86,7.08,959.59,3002.36,1808.73
West Bengal,Howrah,2020,Rabi,Tomato,73.32,63.44,95.35,25.96,89.85,5.62,1767.98,24664.0,2235.55
Haryana,Hisar,2023,Zaid,MungBean,23.14,60.61,52.3,24.603,58.1475,7.1821,514.64,1089.1,7008.37
Meghalaya,Ri Bhoi,2021,Kharif,Rice,86.0,38.55,50.15,23.7855,84.9421,5.1892,1947.76,2361.1,1735.61
Andaman & Nicobar,Nicobars,2022,Annual,Coconut,8.72,22.52,18.35,28.195,94.9431,5.6609,2618.63,7470.5,1604.75
Puducherry,Karaikal,2021,Annual,Sugarcane,107.14,113.98,104.75,28.31,68.87,6.57,1219.66,58477.22,259.79
Goa,South Goa,2021,Annual,Coconut,8.71,12.14,35.45,29.4149,80.703,6.3439,2739.29,5777.2,1567.68
Himachal Pradesh,Bilaspur,2023,Rabi,Wheat,92.57,53.52,23.84,24.1093,90.7243,5.4396,1252.85,4521.0,1941.26
Karnataka,Hassan,2019,Annual,Sugarcane,126.85,69.42,108.34,22.1003,62.0158,6.8348,1202.24,75386.5,262.16
West Bengal,Midnapore,2021,Annual,Sugarcane,83.1,62.19,72.08,26.4436,77.7119,5.7986,1585.89,57890.8,296.75
Himachal Pradesh,Bilaspur,2019,Rabi,Tomato,90.93,64.02,87.1,18.9479,67.0749,6.3175,1392.76,23898.3,2135.05
Maharashtra,Latur,2019,Rabi,Wheat,106.09,79.11,32.99,17.2711,72.5133,6.698,884.67,3851.3,1932.07
Jammu & Kashmir,Jammu,2019,Rabi,Apple,25.24,151.28,184.84,19.28,43.32,6.11,792.92,9199.4,5338.03
Karnataka,Belagavi,2019,Kharif,Cotton,116.27,52.99,62.56,23.24,67.43,6.09,1027.56,1.0,7436.83
West Bengal,South 24 Parganas,2023,Rabi,Potato,120.2,55.6,95.31,19.51,83.98,5.78,1517.31,24795.9,819.54
Tamil Nadu,Salem,2020,Kharif,Maize,72.59,28.46,31.49,28.3292,90.4035,6.9248,859.97,3532.2,1944.41
Karnataka,Raichur,2020,Rabi,Sunflower,58.57,49.52,33.05,21.8836,73.5355,6.7901,557.77,1071.0,5736.41
Rajasthan,Barmer,2020,Rabi,Mustard,85.38,21.63,13.49,27.27,17.89,7.34,112.44,1375.1,5088.32
Bihar,Muzaffarpur,2019,Kharif,Maize,95.46,37.82,57.28,31.52,66.3,7.28,1207.07,2580.8,1587.02
Rajasthan,Kota,2019,Rabi,Mustard,115.58,40.1,47.21,26.4714,23.2887,7.5026,328.66,1428.0,5652.97
Karnataka,Dharwad,2020,Kharif,Cotton,111.52,42.94,50.27,25.47,66.9,6.65,873.17,453.5,6323.55
Maharashtra,Sangli,2022,Kharif,Cotton,61.79,39.97,64.42,20.65,72.31,6.93,1314.21,552.8,7012.2
Uttar Pradesh,Azamgarh,2023,Kharif,PigeonPeas,20.99,89.51,97.88,30.14,51.49,7.33,1167.0,1122.72,5625.21
Karnataka,Belagavi,2019,Rabi,Grapes,19.78,123.47,194.75,19.17,61.92,6.6,981.94,15804.26,4122.42
Tripura,West Tripura,2022,Kharif,Turmeric,100.73,35.3,134.88,22.89,73.71,5.17,1874.73,5745.29,6236.5
Kerala,Kozhikode,2022,Annual,Banana,119.6,118.61,44.82,29.3002,85.8291,5.2175,3421.57,22587.6,1190.23
Assam,Kamrup,2020,Rabi,Mustard,70.48,22.1,36.04,26.08,85.05,5.94,2044.98,1726.6,5222.4
Telangana,Nalgonda,2021,Kharif,Groundnut,23.02,72.76,30.62,30.28,83.46,6.4,597.88,2220.39,6251.27
Madhya Pradesh,Raisen,2020,Kharif,Cotton,105.37,24.82,33.44,30.2327,57.7328,7.6105,1048.94,490.6,6948.88
Odisha,Cuttack,2022,Kharif,Rice,68.51,33.49,24.93,23.41,85.13,5.88,1395.29,3481.7,1861.95
Chhattisgarh,Durg,2022,Kharif,Soybean,51.23,74.71,66.29,30.89,76.36,5.65,1250.56,1647.81,3635.88
Karnataka,Shivamogga,2022,Kharif,Rice,85.98,46.29,51.7,28.25,64.95,7.59,634.03,3020.3,1889.51
Rajasthan,Jodhpur,2021,Rabi,Onion,111.53,26.2,77.21,22.1358,57.9818,6.6376,436.38,17594.0,2120.24
Tripura,East Tripura,2022,Annual,Sugarcane,88.09,73.09,89.13,21.88,84.38,4.85,1912.64,77074.7,283.55
Andhra Pradesh,Vijayawada,2019,Kharif,Cotton,99.77,44.42,40.9,31.87,69.21,6.6,1087.62,958.55,5441.04
Gujarat,Junagadh,2023,Kharif,Rice,74.14,36.47,44.26,30.72,44.16,7.7,315.8,3148.0,1563.47
West Bengal,Midnapore,2019,Annual,Sugarcane,85.09,48.18,90.5,27.27,82.63,5.32,1473.18,59695.9,265.44
Maharashtra,Akola,2022,Kharif,Rice,36.24,40.29,50.4,26.087,65.7688,6.3001,1009.2,3647.5,1926.68
Arunachal Pradesh,Papum Pare,2020,Rabi,Potato,64.23,84.57,122.67,20.11,80.47,5.59,2663.68,24173.39,1026.26
Odisha,Kendrapara,2020,Annual,Coconut,25.72,13.04,33.84,30.645,60.2303,5.9821,934.52,6029.1,1556.17
Assam,Cachar,2019,Annual,Sugarcane,65.02,41.28,79.96,21.49,88.02,6.09,1893.33,70752.8,306.11
Odisha,Ganjam,2021,Rabi,Mustard,82.5,30.2,25.97,27.0387,77.559,5.4085,1678.43,1714.5,6026.59
Chhattisgarh,Durg,2020,Kharif,Soybean,60.67,58.24,59.98,32.8784,67.5417,6.6895,1342.79,1334.7,3627.84
Jammu & Kashmir,Baramulla,2020,Rabi,Lentil,18.79,57.56,33.22,4.88,52.01,7.49,1116.55,996.6,6121.15
Chhattisgarh,Raipur,2020,Rabi,Mustard,85.29,29.08,47.42,19.01,85.87,5.92,1534.31,1635.0,5114.85
Uttar Pradesh,Ghaziabad,2022,Rabi,Mustard,66.85,48.23,17.36,28.41,56.44,6.88,874.12,1712.7,5481.89
Delhi,New Delhi,2022,Kharif,Rice,97.28,41.18,49.44,24.8322,26.6145,6.1791,731.78,2297.0,1932.37
Tripura,West Tripura,2022,Annual,Banana,99.33,81.81,30.52,30.57,81.21,5.22,1922.64,29484.6,1305.15
Delhi,East Delhi,2020,Rabi,Mustard,78.94,43.27,45.85,28.98,56.67,7.14,304.08,1712.5,5770.81
Maharashtra,Sangli,2020,Annual,Banana,86.75,104.52,22.65,23.56,68.14,5.98,1223.76,22008.2,1154.59
Andhra Pradesh,East Godavari,2019,Kharif,Groundnut,22.74,54.43,22.63,30.1164,55.885,6.4834,1392.46,2320.2,5859.65
Madhya Pradesh,Sagar,2022,Rabi,Wheat,107.06,41.07,22.6,21.49,60.91,6.29,892.17,4087.5,1847.04
Punjab,Fazilka,2023,Rabi,Mustard,86.28,63.57,24.15,16.106,48.522,7.5828,724.77,1792.6,5711.58
Haryana,Panipat,2022,Rabi,Mustard,43.86,46.96,41.84,14.71,26.0,7.47,350.26,1529.1,5692.71
Tamil Nadu,Vellore,2020,Kharif,Cotton,111.92,29.41,48.44,33.62,76.45,6.3,1029.22,500.6,6516.82
Chhattisgarh,Raigarh,2021,Kharif,Rice,99.56,34.12,25.12,24.78,81.11,5.74,1526.64,3247.0,1718.76
Chhattisgarh,Durg,2021,Rabi,Mustard,52.65,36.74,45.55,24.43,77.27,5.26,985.42,1204.25,5234.76
Odisha,Bhadrak,2019,Kharif,Turmeric,112.61,39.35,100.74,30.16,70.45,6.07,1330.64,2825.28,6474.32
Gujarat,Ahmedabad,2021,Kharif,Groundnut,19.36,62.62,37.83,38.11,69.71,7.48,695.02,2429.5,5357.67
Manipur,Bishnupur,2023,Kharif,Ginger,99.09,60.94,97.6,25.62,85.38,6.13,1331.77,4114.2,5219.98
Jammu & Kashmir,Kupwara,2020,Rabi,Lentil,15.94,86.5,28.72,13.46,39.13,7.02,1229.66,817.4,5687.76
Kerala,Palakkad,2021,Annual,Banana,110.14,118.79,58.31,26.56,81.48,5.63,3849.38,26740.0,1220.6
Delhi,North Delhi,2021,Kharif,Rice,33.11,32.12,26.35,23.21,64.08,7.0,596.92,3784.2,2090.93
Karnataka,Tumkur,2019,Kharif,Maize,98.72,82.13,40.48,25.3413,54.5955,6.2951,1054.57,3949.3,1821.66
Chhattisgarh,Ambikapur,2023,Kharif,Soybean,52.91,48.0,60.41,34.68,65.45,5.12,930.68,1655.8,3817.46
Odisha,Sambalpur,2021,Annual,Sugarcane,88.56,58.48,57.51,26.12,91.15,5.7,1097.12,70316.7,285.7
Assam,Golaghat,2021,Annual,Banana,125.81,89.66,47.0,26.9948,88.3496,5.8336,2065.81,21706.0,1249.98
Uttar Pradesh,Aligarh,2023,Rabi,Potato,125.11,40.36,96.38,17.48,69.56,7.85,964.74,21938.79,970.22
Odisha,Sambalpur,2021,Rabi,Mustard,61.05,42.62,21.26,18.9382,70.1033,6.0681,1491.05,1201.0,5408.58
Andhra Pradesh,East Godavari,2019,Annual,Sugarcane,104.35,68.34,33.57,25.0785,65.1642,5.1812,1242.76,68683.4,308.33
Tamil Nadu,Dindigul,2023,Kharif,Groundnut,27.17,54.45,25.76,34.89,64.21,6.89,1096.31,1748.5,6249.22
Haryana,Sonipat,2021,Zaid,MungBean,15.03,53.14,39.5,34.9655,76.2686,7.3866,692.92,1165.8,8993.84
Haryana,Rohtak,2020,Rabi,Sunflower,81.13,40.88,59.78,22.0001,59.9198,7.491,675.58,1044.5,5436.66
Tamil Nadu,Krishnagiri,2022,Kharif,Maize,105.73,31.26,46.73,27.62,84.77,6.47,1070.77,2741.5,2095.13
Haryana,Sonipat,2021,Rabi,Sunflower,79.23,49.3,26.06,14.17,76.22,7.75,645.87,1618.1,5617.13
Tamil Nadu,Nagapattinam,2022,Rabi,Tomato,78.8,53.97,88.72,29.09,74.5,6.78,880.3,17586.09,2464.36
Karnataka,Bengaluru Urban,2022,Kharif,Rice,124.88,64.32,32.02,22.28,62.46,5.1,821.05,2223.6,1958.61
Uttarakhand,Tehri Garhwal,2022,Rabi,Potato,112.35,55.94,87.28,28.31,68.27,6.86,1667.37,20458.4,1056.56
Puducherry,Yanam,2023,Rabi,Tomato,84.83,78.98,108.14,27.77,74.98,5.82,1550.83,19497.76,2396.11
Jammu & Kashmir,Udhampur,2023,Kharif,Soybean,49.3,50.49,51.95,29.7583,68.4486,5.8754,1155.55,1153.5,3654.1
West Bengal,North 24 Parganas,2022,Annual,Mango,16.7,12.37,27.8,25.57,73.66,6.23,1190.98,9304.9,3384.41
Rajasthan,Barmer,2019,Rabi,Mustard,93.03,43.15,29.09,25.39,55.44,7.55,172.38,1435.1,5814.03
Ladakh,Leh,2019,Rabi,Wheat,63.14,70.86,24.74,11.0356,18.0,6.6247,10.0,4409.8,2127.54
Maharashtra,Nashik,2021,Rabi,Onion,41.42,42.44,97.98,28.3009,75.7551,7.6689,902.68,13605.6,2006.51
Punjab,Ropar,2019,Rabi,Potato,139.17,61.39,120.79,24.7541,51.6487,8.1168,708.64,23197.8,1045.09
Bihar,Araria,2022,Rabi,Lentil,18.08,52.81,26.31,19.27,53.16,6.89,914.13,1628.18,6016.12
West Bengal,Nadia,2019,Rabi,Wheat,78.7,32.36,34.81,21.03,86.25,6.46,1457.01,2767.5,2202.4
Odisha,Bhadrak,2023,Kharif,Maize,94.44,53.68,6.09,22.4894,84.9681,5.77,1907.18,3732.0,1924.23
Daman & Diu,Daman,2021,Kharif,Rice,95.11,67.53,42.21,28.18,66.9,6.63,1352.27,3169.03,2096.98
Haryana,Karnal,2023,Kharif,Rice,56.52,28.76,46.87,22.13,46.0,7.54,444.32,2276.3,1689.2
Rajasthan,Pali,2023,Kharif,MothBeans,21.38,57.65,93.32,29.54,17.65,7.64,131.52,953.3,4117.37
Andhra Pradesh,Kadapa,2023,Annual,Banana,88.63,82.22,65.24,30.69,73.25,6.58,781.16,26793.07,1200.8
Tripura,South Tripura,2021,Annual,Sugarcane,109.31,70.68,55.14,28.11,91.86,5.48,1827.34,54154.3,295.87
Rajasthan,Jaisalmer,2023,Kharif,Cotton,129.37,45.21,66.22,34.4903,27.2898,8.4768,393.44,354.8,5557.48
Uttar Pradesh,Bulandshahr,2023,Rabi,Wheat,48.69,57.07,30.68,21.32,98.06,6.23,1239.53,4464.4,1730.55
Jammu & Kashmir,Rajouri,2022,Rabi,Potato,113.8,70.59,107.31,5.78,84.05,6.32,1194.83,21241.4,1008.85
Puducherry,Mahe,2020,Kharif,Rice,65.96,19.16,41.48,33.5843,81.558,6.6,1243.0,2707.7,2015.77
Telangana,Nalgonda,2020,Kharif,Groundnut,12.07,47.49,40.61,32.3283,87.4352,7.3097,1003.2,1704.0,5946.86
West Bengal,Darjeeling,2019,Rabi,Potato,105.27,50.69,116.42,24.3106,56.4677,6.2803,1900.73,24960.5,917.06
Assam,Tinsukia,2019,Kharif,Ginger,112.37,71.63,66.2,26.8865,82.6489,5.6876,1478.52,3688.8,5212.3
Rajasthan,Nagaur,2022,Kharif,Soybean,32.56,51.89,33.98,27.89,28.57,8.41,252.55,1312.1,3530.29
Kerala,Thrissur,2019,Kharif,Rice,72.22,44.77,52.41,30.838,91.2405,4.984,3467.09,3064.2,1860.51
Tripura,West Tripura,2019,Kharif,Ginger,130.39,25.68,111.11,25.96,83.8,6.21,2526.3,3346.58,5949.66
Uttar Pradesh,Meerut,2020,Annual,Sugarcane,74.2,80.86,75.45,20.04,65.96,7.56,768.98,78500.7,310.58
Madhya Pradesh,Ujjain,2020,Kharif,Cotton,75.68,37.92,59.66,22.8695,48.5287,7.3156,425.4,579.6,6159.38
West Bengal,Malda,2022,Annual,Mango,15.55,30.64,12.69,23.9539,81.7024,5.9295,1731.88,5461.9,3063.38
Assam,Dibrugarh,2023,Kharif,Turmeric,76.34,62.08,66.23,21.73,87.02,5.39,1595.29,3869.0,6661.32
Rajasthan,Nagaur,2019,Rabi,Wheat,89.36,59.57,34.32,14.93,44.03,8.19,250.15,4061.2,2185.99
Gujarat,Surat,2020,Kharif,Groundnut,34.58,47.76,42.48,33.24,54.78,7.46,509.85,2017.8,5855.21
Rajasthan,Sikar,2022,Zaid,MungBean,6.7,43.63,53.31,31.71,81.03,8.04,445.07,941.8,7954.78
Tamil Nadu,Nagapattinam,2019,Rabi,Tomato,94.87,54.86,39.67,30.4767,66.545,6.664,1011.29,17231.9,2440.77
Haryana,Karnal,2019,Zaid,MungBean,21.44,25.49,42.66,31.5,63.08,7.61,352.4,844.8,8149.54
Kerala,Palakkad,2020,Kharif,Ginger,48.04,37.71,70.48,28.14,83.86,5.95,3444.1,4289.72,5637.15
Jharkhand,Bokaro,2020,Kharif,Rice,38.1,45.13,37.23,27.59,71.74,6.1,1005.39,2578.33,2142.12
Uttarakhand,Tehri Garhwal,2019,Rabi,Tomato,88.14,49.32,101.71,9.0189,62.2157,6.4286,1347.78,17713.7,2884.74
Himachal Pradesh,Kullu,2019,Rabi,Wheat,99.83,63.16,43.3,12.07,69.42,5.67,1392.65,4274.6,2127.52
West Bengal,Nadia,2023,Kharif,Jute,57.66,40.74,33.47,25.78,76.34,5.02,1505.44,2087.1,4902.41
Jammu & Kashmir,Rajouri,2020,Kharif,Maize,92.79,70.36,54.71,23.4136,70.0901,7.1386,1179.98,3299.1,2007.61
Assam,Jorhat,2020,Kharif,Turmeric,76.18,81.06,107.12,26.3,85.41,5.09,1835.89,4629.1,6492.03
Maharashtra,Wardha,2022,Annual,Mango,29.6,31.18,39.73,27.6186,69.1318,6.0298,942.23,8510.3,2910.69
Chhattisgarh,Durg,2020,Rabi,Mustard,77.28,45.86,48.36,21.9975,69.744,6.0721,1265.64,1229.6,5879.17
Kerala,Malappuram,2020,Annual,Coconut,32.76,9.27,22.94,28.85,88.65,5.96,2803.62,5891.8,1590.99
Andhra Pradesh,East Godavari,2020,Annual,Sugarcane,93.34,58.03,83.47,31.1203,73.7458,6.4206,1115.12,68854.1,365.2
Nagaland,Mokokchung,2021,Kharif,Ginger,74.16,46.89,68.54,17.41,81.42,5.87,1789.53,3599.24,5993.59
Haryana,Rohtak,2023,Kharif,Cotton,98.67,54.59,58.68,26.87,63.53,7.76,355.96,804.79,5571.72
Daman & Diu,Diu,2019,Kharif,Rice,103.44,51.68,39.51,25.971,61.6834,6.6853,1850.11,4184.2,1814.06
Tamil Nadu,Tiruppur,2021,Kharif,Rice,65.68,43.55,19.39,31.04,77.9,6.08,505.0,1315.39,1756.67
Madhya Pradesh,Bhopal,2023,Rabi,Potato,121.33,74.33,90.16,26.35,43.53,6.85,1217.77,19761.9,1089.75
Odisha,Rayagada,2022,Annual,Sugarcane,94.56,59.97,83.88,26.6162,76.3214,6.0132,1304.13,87523.1,250.36
Maharashtra,Solapur,2019,Annual,Banana,102.37,76.54,20.59,24.6,59.25,7.1,772.35,24016.3,1067.25
Uttar Pradesh,Moradabad,2023,Annual,Sugarcane,75.91,28.97,99.3,27.45,62.24,6.62,767.7,88717.2,295.73
Madhya Pradesh,Dewas,2021,Rabi,Onion,107.93,52.17,67.64,29.83,56.45,6.88,1100.81,11296.24,1844.84
Madhya Pradesh,Indore,2020,Kharif,Maize,88.3,58.33,41.15,25.13,51.97,7.85,703.55,4341.0,1976.82
Bihar,Bhagalpur,2022,Kharif,Rice,76.45,46.01,28.41,29.24,80.44,7.34,830.71,2453.3,1931.62
Nagaland,Kohima,2020,Kharif,Maize,56.7,19.75,54.06,19.9,79.6,5.51,1686.3,3739.7,1984.61
Gujarat,Vadodara,2019,Kharif,Groundnut,17.6,84.03,38.75,16.2533,68.7968,7.3375,692.37,1998.7,6571.86
Goa,North Goa,2022,Annual,Mango,3.94,35.17,24.05,26.61,72.55,5.95,2732.6,5508.3,3315.8
Andhra Pradesh,Visakhapatnam,2022,Kharif,Maize,101.76,60.22,46.38,33.68,57.99,5.59,1002.38,2536.8,2056.39
Karnataka,Dharwad,2020,Kharif,Cotton,114.1,43.56,48.32,25.1697,68.3176,6.6788,754.8,453.5,6323.55
Gujarat,Gandhinagar,2019,Rabi,Mustard,103.83,54.89,34.82,21.36,83.34,7.39,880.29,337.32,6086.31
Andhra Pradesh,Anantapur,2023,Kharif,Cotton,136.42,42.44,37.02,31.33,69.58,7.09,878.78,427.8,5708.43
Rajasthan,Jaipur,2020,Kharif,Groundnut,24.78,49.23,22.09,35.35,31.67,7.38,373.94,1698.9,5524.07
West Bengal,Jalpaiguri,2020,Annual,Sugarcane,113.5,93.15,91.85,31.58,69.18,6.29,1627.26,84912.48,131.69
Sikkim,East Sikkim,2021,Rabi,Potato,135.66,65.88,139.6,18.1817,84.966,5.774,2331.04,15475.5,986.99
Uttar Pradesh,Bulandshahr,2023,Rabi,Wheat,117.19,71.01,38.97,22.9752,57.5294,8.2962,1061.77,3957.7,1804.87
Kerala,Malappuram,2020,Kharif,Turmeric,101.48,63.26,150.27,24.03,90.73,5.44,3795.55,4611.0,6401.75
Gujarat,Junagadh,2021,Rabi,Mustard,61.25,36.51,44.97,22.4705,31.6473,7.944,769.1,1767.0,6519.05
Bihar,Bhagalpur,2020,Rabi,Onion,62.16,45.78,98.67,17.8466,77.307,6.5979,1167.77,11199.7,1889.8
Rajasthan,Jaipur,2020,Kharif,Groundnut,33.83,68.21,46.99,35.7802,35.7156,6.8579,535.21,1596.7,5875.82
Uttar Pradesh,Jhansi,2022,Annual,Banana,145.11,68.81,36.64,31.28,55.01,7.01,697.81,24176.8,1271.42
Sikkim,North Sikkim,2022,Kharif,Maize,100.06,55.07,60.84,28.5004,68.2183,5.8519,1787.21,4322.1,1876.58
Haryana,Bhiwani,2021,Kharif,Cotton,96.12,62.47,25.91,15.7366,48.4299,7.9802,540.14,373.8,6625.85
Odisha,Bhubaneswar,2021,Annual,Coconut,14.9,12.89,13.41,26.84,59.7,4.94,1089.74,5483.1,1543.75
Himachal Pradesh,Shimla,2023,Rabi,Apple,11.14,131.78,225.26,15.54,81.82,5.7,1372.2,13862.4,5285.65
